Start,Open
2024-05-19,636532381980000000000
2024-05-20,632399054825000000000
2024-05-21,632399054825000000000
2024-05-22,566265820333000000000
2024-05-23,615865746202000000000
2024-05-24,713086286935000000000
2024-05-25,612415281721000000000
2024-05-26,658556159111000000000
2024-05-27,645972283459000000000
2024-05-28,444630273030000000000
2024-05-29,557885153896000000000
2024-05-30,461408773899000000000
2024-05-31,507549651289000000000
2024-06-01,637583033024000000000
2024-06-02,562079779114000000000
2024-06-03,620804532155000000000
2024-06-04,322986141729000000000
2024-06-05,306207640860000000000
2024-06-06,58724753042000000000
