Start,Open
2024-02-21,1.6923675276152E+17
2024-02-22,1.6740372964629E+17
2024-02-23,1.5663940528836E+17
2024-02-24,1.6878068778591E+17
2024-02-25,1.5857295090021E+17
2024-02-26,1.6963552129462E+17
2024-02-27,1.6800381072268E+17
2024-02-28,1.7091327598424E+17
2024-02-29,1.7324243587935E+17
2024-03-01,1.7298984746114E+17
2024-03-02,1.797380548846E+17
2024-03-03,1.6962545301752E+17
2024-03-04,1.8206831185353E+17
2024-03-05,1.7234140138274E+17
2024-03-06,1.7619225240804E+17
2024-03-07,1.8019736669151E+17
2024-03-08,1.6937555776262E+17
2024-03-09,1.7663463079446E+17
2024-03-10,1.7933144932431E+17
2024-03-11,1.8308156899305E+17
2024-03-12,1.7760508487067E+17
2024-03-13,1.8686935422657E+17
2024-03-14,1.8301798631946E+17
2024-03-15,1.7479921822623E+17
2024-03-16,1.8202381922318E+17
2024-03-17,1.817270462388E+17
2024-03-18,1.7898657599548E+17
2024-03-19,1.8421145329448E+17
2024-03-20,1.9116378850677E+17
2024-03-21,1.861583900994E+17
2024-03-22,1.8588817268083E+17
2024-03-23,1.9707320972748E+17
2024-03-24,1.9298585122868E+17
2024-03-25,1.9473470041509E+17
2024-03-26,1.9318368459885E+17
2024-03-27,1.953398540269E+17
2024-03-28,1.9615235648637E+17
2024-03-29,2.0068876429839E+17
2024-03-30,1.930690059571E+17
2024-03-31,2.0074501750062E+17
2024-04-01,1.9976019881555E+17
2024-04-02,2.0262157310256E+17
2024-04-03,2.0257336019391E+17
2024-04-04,2.0843395876425E+17
2024-04-05,2.1451346656378E+17
2024-04-06,2.0976904079627E+17
2024-04-07,2.0554611920285E+17
2024-04-08,2.1419154707234E+17
2024-04-09,2.1605683978999E+17
2024-04-10,2.1997307950435E+17
2024-04-11,2.1530199850302E+17
2024-04-12,2.144048864774E+17
2024-04-13,2.188376590488E+17
2024-04-14,2.1764201516132E+17
2024-04-15,1.9874685731012E+17
2024-04-16,2.031625152187E+17
2024-04-17,2.1573524114598E+17
2024-04-18,2.249598331021E+17
2024-04-19,2.2432890972631E+17
2024-04-20,2.2660730553777E+17
2024-04-21,2.2318820118507E+17
2024-04-22,2.3707045784981E+17
2024-04-23,2.2464985625592E+17
2024-04-24,2.3875147954718E+17
2024-04-25,2.3300734980968E+17
2024-04-26,2.339871745985E+17
2024-04-27,2.2971356435609E+17
2024-04-28,2.1770841061233E+17
2024-04-29,2.2104130184662E+17
2024-04-30,2.3263026520161E+17
2024-05-01,2.3159331413597E+17
2024-05-02,2.3511282835576E+17
2024-05-03,2.3462330523018E+17
2024-05-04,2.3546539783565E+17
2024-05-05,2.361906528682E+17
2024-05-06,2.3866781426916E+17
2024-05-07,2.3338489292731E+17
2024-05-08,2.3443180311466E+17
2024-05-09,2.3652600857909E+17
2024-05-10,2.3856834073377E+17
2024-05-11,2.5475293349102E+17
2024-05-12,2.4290925365699E+17
2024-05-13,2.4361339860897E+17
2024-05-14,2.4064624995458E+17
2024-05-15,2.4734105848204E+17
2024-05-16,2.4214750474228E+17
2024-05-17,2.5886318297431E+17
2024-05-18,2.5748217089448E+17
2024-05-19,2.5822669317425E+17
2024-11-02,1.2538656172007E+18
2024-11-03,1.3271234120632E+18
2024-11-04,1.2947107655162E+18
2024-11-05,1.3231189212303E+18
2024-11-06,1.2974648188532E+18
2024-11-07,1.2663457342424E+18
2024-11-08,1.3011920464353E+18
2024-11-09,1.3186392418119E+18
2024-11-10,1.3014960259568E+18
2024-11-11,1.3183545180291E+18
2024-11-12,1.3190852685628E+18
2024-11-13,1.2880343109229E+18
2024-11-14,1.3207021231012E+18
2024-11-15,1.2899198894747E+18
2024-11-16,1.3755988826296E+18
2024-11-17,1.1826462375696E+18
2024-11-18,1.3409608475466E+18
2024-11-19,1.301250870099E+18
2024-11-20,1.2607896632E+18
2024-11-21,1.2890918644831E+18
2024-11-22,1.2808452822108E+18
2024-11-23,1.2943669842446E+18
2024-11-24,1.3015927128026E+18
2024-11-25,1.2671368178918E+18
2024-11-26,1.3631944454194E+18
2024-11-27,1.2771944155126E+18
2024-11-28,1.3686577609181E+18
2024-11-29,1.3293240259708E+18
2024-11-30,1.2904334688047E+18
2024-12-01,1.2890492541018E+18
2024-12-02,1.2626226350375E+18
2024-12-03,1.3984541097462E+18
2024-12-04,1.3311141080489E+18
2024-12-05,1.3310320365871E+18
2024-12-06,1.3663575347709E+18
2024-12-07,1.3313633155675E+18
2024-12-08,1.3603566396731E+18
2024-12-09,1.1373073040632E+18
2024-12-10,1.1205305278631E+18
2024-12-11,1.1848810288953E+18
2024-12-12,1.3132019322466E+18
2024-12-13,1.3549304108242E+18
2024-12-14,1.3792540386039E+18
2024-12-15,1.3752405335381E+18
2024-12-16,1.432162757236E+18
2024-12-17,1.415877563715E+18
2024-12-18,1.4736438288014E+18
2024-12-19,1.4373425479674E+18
2024-12-20,1.4413972510601E+18
2024-12-21,1.4037445000547E+18
2024-12-22,1.4166922362079E+18
2024-12-23,1.4374485086176E+18
2024-12-24,1.4794906270104E+18
2024-12-25,1.4320575743965E+18
2024-12-26,1.479733288471E+18
2024-12-27,1.4784592990458E+18
2024-12-28,1.5040281809406E+18
2024-12-29,1.5132000946461E+18
2024-12-30,1.5222468427679E+18
2024-12-31,1.4205042448712E+18
2025-01-01,1.4610523118005E+18
2025-01-02,1.4381855380496E+18
2025-01-03,1.4640691504664E+18
2025-01-04,1.4232937905906E+18
2025-01-05,1.4737264644786E+18
2025-01-06,1.3798412338919E+18
2025-01-07,1.3709750732758E+18
2025-01-08,1.344030448343E+18
2025-01-09,1.3564750350805E+18
2025-01-10,1.3470000608523E+18
2025-01-11,1.2793894743012E+18
2025-01-12,1.2226958199388E+18
2025-01-13,1.1999025524204E+18
2025-01-14,1.2820705061304E+18
2025-01-15,1.3472657626556E+18
2025-01-16,1.4314623950044E+18
2025-01-17,1.4908665803596E+18
2025-01-18,1.3612312631905E+18
2025-01-19,1.312822600194E+18
2025-01-20,1.2975177355634E+18
2025-01-21,1.2987988001915E+18
2025-01-22,1.2431395050733E+18
2025-01-23,1.3495171687364E+18
2025-01-24,1.3814732043056E+18
2025-01-25,1.4537330037057E+18
2025-01-26,1.4182262281368E+18
2025-01-27,1.4039922974447E+18
2025-01-28,1.3845441714038E+18
2025-01-29,1.4210218580614E+18
2025-01-30,1.3745915991434E+18
2025-01-31,1.4195468204599E+18
2025-02-01,1.4292606398546E+18
2025-02-02,1.4218441351677E+18
2025-02-03,1.4504348207477E+18
2025-02-04,1.4214245212711E+18
2025-02-05,1.4030325695462E+18
2025-02-06,1.4715379545154E+18
2025-02-07,1.3869856504314E+18
2025-02-08,1.3858424692375E+18
2025-02-09,1.4967195436206E+18
2025-02-10,1.3706362224066E+18
2025-02-11,1.3570627942331E+18
2025-02-12,1.3740525895657E+18
2025-02-13,1.3801342312724E+18
2025-02-14,1.3626873749408E+18
2025-02-15,1.3444145761883E+18
2025-02-16,1.3411750697139E+18
2025-02-17,1.2983956683278E+18
2025-02-18,1.2139393892924E+18
2025-02-19,1.0534117032723E+18
2025-02-20,1.314687141391E+18
2025-02-21,1.2851219873676E+18
2025-02-22,1.377495447508E+18
2025-02-23,1.3300011437332E+18
2025-02-24,1.368521418974E+18
2025-02-25,1.3107856626755E+18
2025-02-26,1.3114795890387E+18
2025-02-27,1.362556826969E+18
2025-02-28,1.2858354982728E+18
2025-03-01,1.3693476335843E+18
2025-03-02,1.3504382431101E+18
2025-03-03,1.3602556172942E+18
2025-03-04,1.3186809541058E+18
2025-03-05,1.3184005256636E+18
2025-03-06,1.3382073558484E+18
2025-03-07,1.3279047580293E+18
2025-03-08,1.3377231413909E+18
2025-03-09,1.3000809988489E+18
2025-03-10,1.2368122248483E+18
2025-03-11,1.2649107703085E+18
2025-03-12,1.2630896290892E+18
2025-03-13,1.2400065846591E+18
2025-03-14,1.2095910947167E+18
2025-03-15,1.1072503424211E+18
2025-03-16,1.1421198058132E+18
2025-03-17,1.1629810887235E+18
2025-03-18,1.1918337320631E+18
2025-03-19,1.1067911337886E+18
2025-03-20,1.2398209170465E+18
2025-03-21,1.202023798961E+18
2025-03-22,1.1723962958292E+18
2025-03-23,1.1427448919427E+18
2025-03-24,1.1592963431638E+18
2025-03-25,1.103091875777E+18
2025-03-26,1.1159658632093E+18
2025-03-27,1.1732815268295E+18
