Start,Open
2024-05-19,636532381980000000000
2024-05-20,632399054825000000000
2024-05-21,632399054825000000000
2024-05-22,566265820333000000000
2024-05-23,615865746202000000000
2024-05-24,713086286935000000000
2024-05-25,612415281721000000000
2024-05-26,658556159111000000000
2024-05-27,645972283459000000000
2024-05-28,444630273030000000000
2024-05-29,557885153896000000000
2024-05-30,461408773899000000000
2024-05-31,507549651289000000000
2024-06-01,637583033024000000000
2024-06-02,562079779114000000000
2024-06-03,620804532155000000000
2024-06-04,322986141729000000000
2024-06-05,306207640860000000000
2024-06-06,58724753042000000000
2024-06-07,133170479540000000000
2024-06-08,603428735418000000000
2024-06-09,636721355303000000000
2024-06-10,636721355303000000000
2024-06-11,503550875762000000000
2024-06-12,503550875762000000000
2024-06-13,570136115533000000000
2024-06-14,511874030734000000000
2024-06-15,241371494167000000000
2024-06-16,337087776337000000000
2024-06-17,674175552674000000000
2024-06-18,541005073133000000000
2024-06-19,607590312903000000000
2024-06-20,441127213478000000000
2024-06-21,141493634512000000000
2024-06-22,66552317600000000000
2024-06-26,62392797750000000000
2024-06-27,241252151301000000000
2024-06-28,507461421702000000000
2024-06-29,370197266652000000000
2024-06-30,220454552051000000000
2024-07-15,655986780565000000000
2024-07-16,580903956284000000000
2024-07-17,592759139065000000000
2024-07-18,573000501096000000000
2024-07-19,554691599777000000000
2024-07-20,566927443890000000000
2024-07-21,672971426200000000000
2024-07-22,636263893862000000000
2024-07-23,738229261468000000000
2024-07-24,648499737974000000000
2024-07-25,558770214481000000000
2024-07-26,644421123270000000000
2024-07-27,632185279157000000000
2024-07-28,603634976228000000000
2024-07-29,591399132115000000000
2024-07-30,709678958538000000000
2024-07-31,575084673298000000000
2024-08-01,640001992531000000000
2024-08-02,608452598533000000000
2024-08-03,545353810537000000000
2024-08-04,603945542248000000000
2024-08-05,612959654818000000000
2024-08-06,658030217673000000000
2024-08-07,621973767389000000000
2024-08-08,540846754252000000000
2024-08-09,549860866822000000000
2024-08-10,549860866822000000000
2024-08-11,590424373391000000000
2024-08-12,658030217673000000000
2024-08-13,594931429677000000000
2024-08-14,640001992531000000000
2024-08-15,509297360254000000000
2024-08-16,665034279334000000000
2024-08-17,613213426399000000000
2024-08-18,604576617576000000000
2024-08-19,604576617576000000000
